Company,Industry,Short Description (< 5 words),Title,Technology,Tag,Year,Link
Intercom,Tech,Voice AI agent,[VIDEO] Shipping an Enterprise Voice AI Agent in 100 Days,AI agents,"voice interface,product feature",2025,https://www.youtube.com/watch?v=HOYLZ7IVgJo
Instacart,Delivery and mobility,Extract product attributes,Scaling Catalog Attribute Extraction with Multi-modal LLMs,Generative AI & LLM,search,2025,https://tech.instacart.com/multi-modal-catalog-attribute-extraction-platform-at-instacart-b9228754a527
Instacart,Delivery and mobility,Generate images at scale,Introducing PIXEL: Instacart’s Unified Image Generation Platform,CV,product feature,2025,https://tech.instacart.com/introducing-pixel-instacarts-unified-image-generation-platform-6d7dd0efe4c1
Grab,Delivery and mobility,Internal ChatGPT-like tool,"From failure to success: The birth of GrabGPT, Grab’s internal ChatGPT",Generative AI & LLM,chatbot,2025,https://engineering.grab.com/the-birth-of-grab-gpt
Anthropic,Tech,Learnings from building AI agents,[VIDEO] How We Build Effective Agents,AI agents,ops,2025,https://www.youtube.com/watch?v=D7_ipDqhtwk
Nubank,Fintech and banking,Capture user behavioral signals with foundation models,Building Foundation Models into Nubank’s AI Platform,Generative AI & LLM,data analytics,2025,https://building.nubank.com/foundation-models-ai-nubank-transformation/
Instacart,Delivery and mobility,Auto-evaluate chatbot interactions,Turbocharging Customer Support Chatbot Development with LLM-Based Automated Evaluation,Generative AI & LLM,"chatbot,customer support",2025,https://tech.instacart.com/turbocharging-customer-support-chatbot-development-with-llm-based-automated-evaluation-6a269aae56b2
Delivery Hero,Delivery and mobility,Automate product attribute extraction,How Delivery Hero Uses Agentic AI for Building a Product Knowledge Base,AI agents,search,2025,https://tech.deliveryhero.com/blog/how-delivery-hero-uses-agentic-ai-for-building-a-product-knowledge-base/
OpenAI,Tech,Learnings from building voice agents,[VIDEO] Building Effective Voice Agents,AI agents,voice interface,2025,https://www.youtube.com/watch?v=-OXiljTJxQU
Doordash,Delivery and mobility,Generate profiles for consumers and products,"Profile Generation with LLMs: Understanding consumers, merchants, and items",Generative AI & LLM,data analytics,2025,https://careersatdoordash.com/blog/doordash-profile-generation-llms-understanding-consumers-merchants-and-items/
Doordash,Delivery and mobility,Create personalized menu descriptions,Advancing Menu Content with AI: How DoorDash uses AI to generate menu descriptions,Generative AI & LLM,product feature,2025,https://careersatdoordash.com/blog/doordash-ai-menu-descriptions/
Doordash,Delivery and mobility,Transcribe content form photos,Using LLM to transcribe restaurant menu photos ,Generative AI & LLM,"ops,product feature",2025,https://careersatdoordash.com/blog/doordash-llm-transcribe-menu/
GitHub,Tech,How GitHub's Copilot agent mode works,[VIDEO] Real world MCPs in GitHub Copilot Agent Mode,AI agents,"product feature,code generation / review",2025,https://www.youtube.com/watch?v=RkVILz06y08
Coinbase,Fintech and banking,Develop and productionize user sequence features,How Coinbase Builds Sequence Features for Machine Learning,Predictive ML,data analytics,2025,https://www.coinbase.com/en-ar/blog/how-coinbase-builds-sequence-features-for-machine-learning
Google,Tech,Learnings from building a coding agent,[VIDEO] Your Coding Agent Just Got Cloned And Your Brain Isn't Ready,AI agents,"product feature,code generation / review",2025,https://www.youtube.com/watch?v=X4BwOu0GWb8
Coinbase,Fintech and banking,Automate routine hiring operations,How Coinbase is Embracing AI in Recruiting,Predictive ML,"ops,HR tasks",2025,https://www.coinbase.com/en-ar/blog/how-coinbase-is-embracing-ai-in-recruiting
Plaid,Fintech and banking,Automate data labeling,Agents in Action: Leveraging AI to improve our core product experiences,Generative AI & LLM,data analytics,2025,https://plaid.com/blog/ai-agents-june-2025/
Plaid,Fintech and banking,Improve engineer productivity,Transforming Engineers: How we grew AI coding adoption at Plaid,Generative AI & LLM,ops,2025,https://plaid.com/blog/ai-coding-adoption-plaid/
Casco,Tech,Voice-to-code AI agents,[VIDEO] How we hacked YC Spring 2025 batch’s AI agents,AI agents,code generation / review,2025,https://www.youtube.com/watch?v=kv-QAuKWllQ
Nubank,Fintech and banking,Improve HR processes with Gen AI,Pioneering the Future of Work: How Nubank is Transforming HR with AI,Generative AI & LLM,"ops,HR tasks",2025,https://building.nubank.com/artificial-intelligence-human-resources/
