Company,Industry,Short Description (< 5 words),Title,Technology,Tag,Year,Link,content_type,year_bucket,stratum,sample_id
Swiggy,Delivery and mobility,Transform user questions to SQL queries,Hermes: A Text-to-SQL solution at Swiggy,Generative AI & LLM,product feature,2024,https://bytes.swiggy.com/hermes-a-text-to-sql-solution-at-swiggy-81573fb4fb6e,article,2024+,Delivery and mobility | Generative AI & LLM | article | 2024+,case_000
Microsoft,Tech,Diagnose production incidents with LLM,Large-language models for automatic cloud incident management,Generative AI & LLM,software ops,2023,https://www.microsoft.com/en-us/research/blog/large-language-models-for-automatic-cloud-incident-management/,article,2021-2023,Tech | Generative AI & LLM | article | 2021-2023,case_001
Dropbox,Tech,Identify best time for renewal charge,Optimizing payments with machine learning,Predictive ML,ops,2021,https://dropbox.tech/machine-learning/optimizing-payments-with-machine-learning,article,2021-2023,Tech | Predictive ML | article | 2021-2023,case_002
Nubank,Fintech and banking,Build RAG-based internal chatbot,AskNu: A RAG solution to increase Employees Productivity at Nubank,RAG,chatbot,2025,https://building.nubank.com/ai-solution-for-search/,article,2024+,Fintech and banking | RAG | article | 2024+,case_003
Expedia,"Travel,E-commerce and retail",Building a personal travel assistant ,Traveling Just Got a Lot Smarter with Romie,Generative AI & LLM,product feature,2024,https://medium.com/expedia-group-tech/traveling-just-got-a-whole-lot-smarter-with-romie-dfb9b21c07c5,article,2024+,"Travel,E-commerce and retail | Generative AI & LLM | article | 2024+",case_004
Lemonade,Fintech and banking,Build customer-support GenAI agent,[VIDEO] RAG pain-points and solutions,RAG,customer support,2024,https://www.youtube.com/watch?v=XGJOU2sysjg,video,2024+,Fintech and banking | RAG | video | 2024+,case_005
Slack,Tech,Enterprise search,How we built enterprise search to be secure and private,RAG,search,2025,https://slack.engineering/how-we-built-enterprise-search-to-be-secure-and-private/,article,2024+,Tech | RAG | article | 2024+,case_006
Apple,Tech,Identify text language,Language Identification from Very Short Strings,NLP,product feature,2019,https://machinelearning.apple.com/research/language-identification-from-very-short-strings,article,2017-2020,Tech | NLP | article | 2017-2020,case_007
Bumble,Social platforms,Derive information from images,Image detection as a service,CV,product feature,2020,https://medium.com/bumble-tech/image-detection-as-a-service-9bd463f74f43,article,2017-2020,Social platforms | CV | article | 2017-2020,case_008
Swiggy,Delivery and mobility,Insights on adopting CodeGen tools,How GenAI Codegen tools are helping us deliver convenience quicker,Predictive ML,code generation / review,2023,https://bytes.swiggy.com/how-genai-codegen-tools-are-helping-us-deliver-convenience-quicker-133248a0c714,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_009
Glassdoor,Social platforms,Recommend interesting posts to users ,Personalized Fishbowl Recommendations with Learned Embeddings: Part 2,Predictive ML,recommender system,2022,https://medium.com/glassdoor-engineering/personalized-fishbowl-recommendations-with-learned-embeddings-part-2-78a16b04d396,article,2021-2023,Social platforms | Predictive ML | article | 2021-2023,case_010
New York Times,Media and streaming,Detect and recognize handwriting,Experimenting with Handwriting Recognition for The New York Times Crossword,CV,product feature,2024,https://open.nytimes.com/experimenting-with-handwriting-recognition-for-new-york-times-crossword-a78e08fec08f,article,2024+,Media and streaming | CV | article | 2024+,case_011
ManoMano,E-commerce and retail,Improve compatibility in DIY product recommendations,Compatibility Challenges in Recommendation System,Predictive ML,recommender system,2025,https://medium.com/manomano-tech/compatibility-challenges-in-recommendation-system-4d233c676d35,article,2024+,E-commerce and retail | Predictive ML | article | 2024+,case_012
